sample,control_set,n_obs,exposure,control,coef,p
aus_l3,rate_sens_rba + runup_from_2019,1197,ai_product_exposure_score,rate_sens_rba,-0.1710559099010172,0.057696601990212266
aus_l3,rate_sens_rba + runup_from_2019,1197,ai_product_exposure_score,runup_from_2019,-0.2108169390560536,4.60696135698788e-5
aus_l3,rate_sens_rba + runup_from_2019,1197,felten_exposure_score,rate_sens_rba,-0.26270355477934676,0.016369771595094618
aus_l3,rate_sens_rba + runup_from_2019,1197,felten_exposure_score,runup_from_2019,-0.16800397308623824,8.271662016897432e-5
aus_l3,rate_sens_rba + runup_from_2019,1197,webb_exposure_score,rate_sens_rba,-0.2603690045176692,0.021389692964112077
aus_l3,rate_sens_rba + runup_from_2019,1197,webb_exposure_score,runup_from_2019,-0.1821410723080481,2.993608969837585e-4
aus_l3,rate_sens_rba + runup_from_2019,1197,beta_eloundou,rate_sens_rba,-0.264941514157033,0.0187769377585623
aus_l3,rate_sens_rba + runup_from_2019,1197,beta_eloundou,runup_from_2019,-0.21311485736844932,5.502798710468421e-5
aus_l3,rate_sens_rba + runup_from_2019,1197,anthropic_usage_score,rate_sens_rba,-0.24697180818463607,0.021950549107251697
aus_l3,rate_sens_rba + runup_from_2019,1197,anthropic_usage_score,runup_from_2019,-0.22009065433673425,5.076934915784835e-5
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,(controls only),wfh_teleworkable,-0.06445453098047456,0.06949840156731388
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,(controls only),rate_sens_rba,-0.2220725740150976,0.02157574930527956
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,(controls only),runup_from_2019,-0.20602892267235537,8.321235609814407e-5
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,ai_product_exposure_score,wfh_teleworkable,-0.013943509540254084,0.6594025315868289
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,ai_product_exposure_score,rate_sens_rba,-0.1659078167612539,0.05152950928332484
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,ai_product_exposure_score,runup_from_2019,-0.21444343021363366,4.9192214802951447e-5
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,felten_exposure_score,wfh_teleworkable,-0.25381048452509636,1.1088360350730418e-4
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,felten_exposure_score,rate_sens_rba,-0.10383524697334263,0.20408058477714827
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,felten_exposure_score,runup_from_2019,-0.179973014720031,1.0070402744628955e-4
aus_l3,wfh_teleworkable + rate_sens_rba + runup_from_2019,1197,webb_exposure_score,wfh_teleworkable,-0.0653644507564703,0.05977165839476869
