idcountry,isco_level_2,covered_share,runup_from_2019,runup_from_2020,runup_from_2019_vac,runup_from_2019_mix,runup_from_2019_pooled
BG,72,1,0.22164234206251554,0.39645160228663273,0.1851747520524044,0.22046785708012492,0.2167728606257869
BG,73,1,0.04879016416943199,0.27193371548364176,-0.014334308745814539,0.22072107126613294,0.21952040503363573
BG,74,1,-0.08348912403547343,0.0694547836382241,-0.10789224039076589,0.25447998684248296,0.21619110908262257
BG,75,1,0.04879016416943199,0.27193371548364176,-0.014334308745814539,0.22072107126613294,0.21738428807614973
BG,81,1,0.04879016416943199,0.27193371548364176,-0.014334308745814539,0.22072107126613294,0.21652054400345797
BG,82,1,0.015394835410482961,0.21828799171400975,-0.03842850837480039,0.2163854496004873,0.21989440056919204
BG,83,1,0.038341308130079826,0.14750912613287842,0.0214859798933701,0.17098866814126615,0.20902411239158486
BG,91,1,0.11454598238518357,0.3278760252862478,0.060528223981824024,0.26643660920394086,0.2330230761849543
BG,92,1,0.241162056816888,0.44183275227903934,0.22076291270805193,-0.19415601444095743,-0.12237825031757464
BG,93,1,-0.045569806605251846,0.10267600609292649,-0.07377882375781747,0.20585079746981544,0.2150336288425011
BG,94,1,0,0.4473122180436647,-0.18862718252724697,0.30332234176825773,0.2731603358466676
BG,96,1,0.11314990333660853,0.26926508154053597,0.09338690272459449,0.18914000133936423,0.22864745822534405
CY,11,1,0.6151856390902334,0.013605652055778681,0.8568673114033549,0.1823215567939548,0.22205715776995835
CY,12,1,0.2907839126238923,0.6446996900196194,0.4312035489461632,0.27950855267223584,0.24446408178875306
CY,13,1,0.23707417261043962,0.34015066456958015,0.39413187204636996,0.2500312855172406,0.2130208675503039
CY,14,1,0.345969669936811,0.6376657044509895,0.44974546089943535,0.25006262113322475,0.25317490005446597
CY,21,0.9629629629629629,0.15304123636296724,0.22496758285955193,0.34905582993200307,0.2554705606658207,0.25205294245025983
CY,22,1,-0.11755913379542678,-0.31003351757408826,-0.10622648424311244,0.165793984571499,0.1721416170252814
CY,23,1,0.3184537311185347,0.20067069546215133,0.5240708505160114,0.22314355131420974,0.21847032587873527
CY,24,1,0.3850280488648592,0.5622912236953962,0.5496662227070923,0.2754989155160708,0.2514016893047965
CY,25,1,0.3622441088434677,0.31239287406928773,0.579765851510289,0.26983182964974145,0.2598746776979377
CY,26,1,0.3274812784374951,0.4806759551004227,0.5014989877997431,0.25768517664506785,0.2152636121063766
CY,31,1,0.1833418336909818,0.18878360383198664,0.3822986357379288,0.2188702043998371,0.2276955086746763
